Hora_actual,ProxLlegada_FC1,CantCola_Cola,Desertados_Cola,CantCola_Prioridad,ProxDeser_1,ProxDeser_2,ProxDeser_3,ProxDeser_4,Estado_ZS,FinZS_ZS,FinServ_PS,Ocupacion_PS,Actividad_PS,IniDescanso_PS,FinDescanso_PS,CantDescansos_PS,Total_Atendidos,Total_Desertores
000:13:30,000:14:15,7,0,6,000:16:45,000:19:00,000:19:45,000:20:30,LIBRE,-,000:14:40,OCUPADO,DESCANSANDO,,000:14:00,7,4,0
000:13:45,000:14:15,7,0,6,000:16:45,000:19:00,000:19:45,000:20:30,LIBRE,-,000:14:40,OCUPADO,DESCANSANDO,,000:14:00,7,4,0
000:14:00,000:14:15,7,0,6,000:16:45,000:19:00,000:19:45,000:20:30,LIBRE,-,000:14:40,OCUPADO,ACTIVO,000:15:00,,7,4,0
000:14:15,000:15:00,7,0,7,000:16:45,000:19:00,000:19:45,000:20:30,LIBRE,-,000:14:40,OCUPADO,ACTIVO,000:15:00,,7,4,0
000:14:30,000:15:00,7,0,7,000:16:45,000:19:00,000:19:45,000:20:30,LIBRE,-,000:14:40,OCUPADO,ACTIVO,000:15:00,,7,4,0
000:14:40,000:15:00,6,0,7,000:19:00,000:19:45,000:20:30,000:21:15,OCUP,000:15:10,-,LIBRE,ACTIVO,000:15:00,,7,5,0
000:15:00,000:15:45,7,0,7,000:19:00,000:19:45,000:20:30,000:21:15,OCUP,000:15:10,-,LIBRE,DESCANSANDO,,000:16:00,8,5,0
000:15:10,000:15:45,7,0,7,000:19:00,000:19:45,000:20:30,000:21:15,OCUP,000:15:10,-,LIBRE,DESCANSANDO,,000:16:00,8,5,0
000:15:15,000:15:45,7,0,7,000:19:00,000:19:45,000:20:30,000:21:15,OCUP,000:15:10,-,LIBRE,DESCANSANDO,,000:16:00,8,5,0
000:15:45,000:16:30,8,0,7,000:19:00,000:19:45,000:20:30,000:21:15,OCUP,000:15:10,-,LIBRE,DESCANSANDO,,000:16:00,8,5,0
000:16:00,000:16:30,8,0,7,000:19:00,000:19:45,000:20:30,000:21:15,OCUP,000:15:10,-,LIBRE,ACTIVO,000:17:00,,8,5,0
000:16:30,000:17:15,8,0,8,000:19:00,000:19:45,000:20:30,000:21:15,LIBRE,-,000:17:20,OCUPADO,ACTIVO,000:17:00,,8,5,0
000:17:00,000:17:15,8,0,8,000:19:00,000:19:45,000:20:30,000:21:15,LIBRE,-,000:18:20,OCUPADO,DESCANSANDO,,000:18:00,9,5,0
000:17:15,000:18:00,9,0,8,000:19:00,000:19:45,000:20:30,000:21:15,LIBRE,-,000:18:20,OCUPADO,DESCANSANDO,,000:18:00,9,5,0
000:17:30,000:18:00,9,0,8,000:19:00,000:19:45,000:20:30,000:21:15,LIBRE,-,000:18:20,OCUPADO,DESCANSANDO,,000:18:00,9,5,0
000:18:00,000:18:45,10,0,8,000:19:00,000:19:45,000:20:30,000:21:15,LIBRE,-,000:18:20,OCUPADO,ACTIVO,000:19:00,,9,5,0
000:18:15,000:18:45,10,0,8,000:19:00,000:19:45,000:20:30,000:21:15,LIBRE,-,000:18:20,OCUPADO,ACTIVO,000:19:00,,9,5,0
000:18:20,000:18:45,9,0,8,000:19:45,000:20:30,000:21:15,000:22:00,OCUP,000:18:50,-,LIBRE,ACTIVO,000:19:00,,9,6,0
000:18:45,000:19:30,10,0,8,000:19:45,000:20:30,000:21:15,000:22:00,OCUP,000:18:50,-,LIBRE,ACTIVO,000:19:00,,9,6,0
000:18:50,000:19:30,10,0,8,000:19:45,000:20:30,000:21:15,000:22:00,LIBRE,-,000:19:40,OCUPADO,ACTIVO,000:19:00,,9,6,0
000:19:00,000:19:30,10,0,8,000:19:45,000:20:30,000:21:15,000:22:00,LIBRE,-,000:20:40,OCUPADO,DESCANSANDO,,000:20:00,10,6,0
000:19:30,000:20:15,10,0,9,000:19:45,000:20:30,000:21:15,000:22:00,LIBRE,-,000:20:40,OCUPADO,DESCANSANDO,,000:20:00,10,6,0
000:19:45,000:20:15,9,1,9,000:20:30,000:21:15,000:22:00,000:22:45,LIBRE,-,000:20:40,OCUPADO,DESCANSANDO,,000:20:00,10,6,1
000:20:00,000:20:15,9,1,9,000:20:30,000:21:15,000:22:00,000:22:45,LIBRE,-,000:20:40,OCUPADO,ACTIVO,000:21:00,,10,6,1
